dataset,fsn,saa,azimuth,length,width,num_pixels,charge
2014b,4609756,True,86.142,18.849,2.264,22,18066.918
2014b,4609756,True,21.846,13.013,1.486,25,106733.156
2014b,4609759,True,168.820,21.206,1.588,39,159120.594
2014b,4609762,True,81.484,10.586,1.244,16,22959.750
2014b,4609762,True,106.864,23.617,1.289,34,169292.656
2014b,4609762,True,120.274,14.770,1.142,17,12731.499
2014b,4609762,True,107.859,11.821,2.136,19,33394.086
2014b,4609765,True,117.053,19.080,1.274,30,58672.586
2014b,4609765,True,117.376,27.918,1.953,58,379428.719
2014b,4609765,True,117.494,58.819,1.234,71,129496.828
2014b,4609765,True,133.633,17.666,1.198,40,343787.594
2014b,4609765,True,124.526,20.462,4.060,37,263415.469
2014b,4609765,True,107.500,13.459,2.015,19,22780.000
2014b,4609768,True,126.963,13.470,1.915,27,46273.414
2014b,4609768,True,131.248,23.416,1.231,35,58722.832
2014b,4609768,True,80.871,97.335,1.909,116,728615.750
2014b,4609768,True,81.114,39.833,1.296,47,314450.781
2014b,4609768,True,69.669,18.444,1.282,24,35338.582
2014b,4609771,True,104.274,20.956,0.920,27,43509.582
2014b,4609771,True,135.226,33.168,2.170,57,148286.094
2014b,4609771,True,124.556,39.340,2.623,91,896004.875
2014b,4609771,True,128.259,25.766,1.280,38,64936.164
2014b,4609771,True,93.019,18.406,1.751,23,17804.336
2014b,4609771,True,98.172,31.111,1.221,32,27556.002
2014b,4609771,True,98.611,20.049,3.513,32,26317.750
2014b,4609774,True,128.255,20.951,1.305,32,52495.250
2014b,4609774,True,126.124,14.558,1.625,19,32550.838
2014b,4609774,True,127.858,18.594,1.148,23,40330.836
2014b,4609774,True,127.328,34.857,1.571,39,80296.414
2014b,4609774,True,136.203,21.337,1.359,33,127630.906
2014b,4609774,True,118.633,61.839,1.368,101,356852.750
2014b,4609774,True,161.357,15.011,1.244,18,19728.918
2014b,4609774,True,125.953,17.950,1.241,24,43333.750
2014b,4609774,True,114.363,17.807,1.267,29,64208.164
2014b,4609774,True,121.880,31.147,1.765,40,33247.914
2014b,4609774,True,121.664,49.428,1.293,64,41966.918
2014b,4609774,True,126.726,15.367,1.229,23,86551.914
2014b,4609774,True,56.364,9.768,5.891,30,61844.156
2014b,4609774,True,108.806,16.208,3.757,25,33848.414
2014b,4609777,True,95.914,15.987,2.288,26,22088.916
2014b,4609777,True,141.739,22.715,1.831,27,56375.332
2014b,4609777,True,130.276,25.368,1.253,37,79729.000
2014b,4609777,True,137.547,28.760,3.293,57,209520.000
2014b,4609777,True,176.503,23.708,4.150,39,64288.242
2014b,4609780,True,131.042,22.006,2.056,48,228689.094
2014b,4609780,True,18.506,13.282,1.320,17,12925.750
2014b,4609780,True,132.241,18.585,1.881,29,63539.172
2014b,4609780,True,6.377,12.289,1.338,20,119284.406
2014b,4609780,True,129.583,20.281,1.650,34,22333.750
2014b,4609780,True,128.673,31.628,1.963,39,39849.922
2014b,4609780,True,132.263,15.663,1.352,27,35275.500
2014b,4609780,True,112.176,18.781,1.361,28,76806.836
2014b,4609780,True,134.140,16.524,1.407,24,116725.758
2014b,4609783,True,118.380,12.967,1.296,18,13260.334
2014b,4609783,True,115.790,27.052,3.491,49,85946.258
2014b,4609783,True,155.595,14.558,1.130,17,10794.916
2014b,4609783,True,141.813,65.378,3.003,117,185066.266
2014b,4609783,True,138.406,24.828,1.702,50,185725.750
