dataset,fingerprint,frames,tracks,source
2014b,3a6ffa2ea02337c1,888,608,
2014,ff9db97ef49e4969,1950,34,
2018,138d74ecee73b681,622,118,
2018may,4fd38db16b0ec4ae,722,611,
sji,a1714fcd7db72cc2,1156,471,
2014-08-20,47802fe44e178410,782,636,
2014-08-21,36f97cdecdd8444c,768,800,
2014-08-23,f81b7314fc61a32f,1214,800,
2014-08-24,62a0ef040d816395,806,942,
2014-08-25,bc799016a6728713,778,1482,
2014-11-02,3a22ef4027c4071e,762,1153,
2014-11-27,5babfe56aebad07c,970,144,
2015-03-26,b1fa4bee848aa219,616,65,
2015-09-20,c4b0ebe713488d1a,1039,505,
2016-01-02,6f41da1d380436ae,3836,542,
2016-01-06,c691668745ff4a3e,638,90,
2016-05-16,8ca369e7eabe861e,1174,511,
2016-10-28,2062f5a82d89b71c,556,186,
2016-12-13,46159cbef22688e7,1737,123,
2016-12-17,f3a679cd8b5e3a23,1247,3,
2016-12-25,9c08ee9e6f5122c4,1531,220,
