chip,num,width_depleted,misfit,critical_depth,width_max,critical_depth_mean,critical_depth_error,width_max_mean,width_max_error
NUV,793,0.00,1433.508,0.400,5.00,0.4283,0.0044,4.840,0.045
NUV,793,0.10,1390.900,0.400,5.00,0.4288,0.0043,4.829,0.044
NUV,793,0.20,1217.181,0.400,5.00,0.4288,0.0044,4.823,0.044
NUV,793,0.30,989.553,0.400,5.00,0.4250,0.0044,4.820,0.043
NUV,793,0.40,787.726,0.400,5.00,0.4221,0.0042,4.837,0.044
NUV,793,0.50,591.742,0.400,5.00,0.4166,0.0040,4.858,0.043
NUV,793,0.60,285.729,0.400,5.00,0.4038,0.0036,4.875,0.043
NUV,793,0.70,0.000,0.400,5.00,0.3968,0.0036,4.878,0.043
NUV,793,0.80,107.581,0.400,5.00,0.3943,0.0035,4.899,0.044
NUV,793,0.90,297.256,0.350,5.00,0.3876,0.0036,4.946,0.044
NUV,793,1.00,611.275,0.350,5.00,0.3771,0.0039,4.928,0.044
NUV,793,1.10,1056.630,0.350,5.00,0.3694,0.0039,4.943,0.045
NUV,793,1.20,1832.260,0.350,5.00,0.3650,0.0040,4.958,0.045
NUV,793,1.30,2652.774,0.350,5.00,0.3558,0.0041,4.921,0.048
NUV,793,1.40,3450.756,0.350,5.00,0.3440,0.0040,4.987,0.049
NUV,793,1.50,4287.262,0.350,5.00,0.3356,0.0041,5.009,0.050
FUV1,998,0.00,2183.171,0.400,4.50,0.4351,0.0049,4.217,0.047
FUV1,998,0.10,2134.847,0.400,4.50,0.4315,0.0048,4.242,0.046
FUV1,998,0.20,2030.723,0.400,4.50,0.4310,0.0048,4.261,0.047
FUV1,998,0.30,1717.631,0.400,4.50,0.4246,0.0048,4.228,0.047
FUV1,998,0.40,1313.453,0.400,4.50,0.4147,0.0046,4.238,0.046
FUV1,998,0.50,921.190,0.400,4.50,0.4010,0.0043,4.286,0.046
FUV1,998,0.60,437.602,0.400,4.50,0.3934,0.0040,4.311,0.045
FUV1,998,0.70,0.000,0.350,4.50,0.3781,0.0036,4.385,0.045
FUV1,998,0.80,257.805,0.350,4.50,0.3733,0.0038,4.381,0.045
FUV1,998,0.90,680.391,0.350,4.50,0.3647,0.0036,4.405,0.045
FUV1,998,1.00,1129.786,0.350,4.50,0.3522,0.0036,4.455,0.045
FUV1,998,1.10,1862.778,0.350,4.50,0.3415,0.0037,4.463,0.047
FUV1,998,1.20,2814.592,0.300,4.50,0.3296,0.0039,4.464,0.049
FUV1,998,1.30,4097.420,0.300,4.50,0.3187,0.0040,4.466,0.050
FUV1,998,1.40,5599.760,0.300,4.50,0.3125,0.0041,4.474,0.054
FUV1,998,1.50,7153.286,0.300,4.50,0.3022,0.0041,4.442,0.055
FUV2,1580,0.00,2680.971,0.450,5.50,0.4463,0.0028,5.610,0.033
FUV2,1580,0.10,2586.012,0.450,5.50,0.4458,0.0028,5.603,0.033
FUV2,1580,0.20,2354.353,0.450,5.50,0.4451,0.0028,5.612,0.033
FUV2,1580,0.30,1969.403,0.450,5.50,0.4417,0.0027,5.629,0.033
FUV2,1580,0.40,1435.500,0.400,5.50,0.4384,0.0026,5.619,0.032
FUV2,1580,0.50,927.566,0.400,5.50,0.4318,0.0025,5.680,0.032
FUV2,1580,0.60,431.902,0.400,5.50,0.4256,0.0024,5.684,0.032
FUV2,1580,0.70,0.000,0.400,5.50,0.4173,0.0023,5.712,0.031
FUV2,1580,0.80,259.556,0.400,5.50,0.4133,0.0024,5.740,0.031
FUV2,1580,0.90,572.266,0.400,5.50,0.4052,0.0024,5.753,0.031
FUV2,1580,1.00,1342.252,0.400,5.50,0.4008,0.0025,5.732,0.031
FUV2,1580,1.10,2421.807,0.400,5.50,0.3951,0.0026,5.739,0.031
FUV2,1580,1.20,3921.972,0.400,5.50,0.3915,0.0025,5.767,0.032
FUV2,1580,1.30,5621.066,0.400,5.50,0.3839,0.0025,5.787,0.033
FUV2,1580,1.40,7523.974,0.400,5.50,0.3816,0.0025,5.753,0.033
FUV2,1580,1.50,9517.009,0.350,5.50,0.3747,0.0026,5.782,0.033
SJI,1016,0.00,1592.162,0.450,5.50,0.4503,0.0036,5.391,0.036
SJI,1016,0.10,1538.202,0.450,5.50,0.4487,0.0036,5.396,0.036
SJI,1016,0.20,1389.218,0.450,5.50,0.4455,0.0034,5.383,0.036
SJI,1016,0.30,1161.685,0.450,5.50,0.4422,0.0032,5.394,0.036
SJI,1016,0.40,865.614,0.450,5.50,0.4382,0.0032,5.371,0.038
SJI,1016,0.50,630.103,0.400,5.50,0.4346,0.0032,5.371,0.038
SJI,1016,0.60,370.558,0.400,5.50,0.4299,0.0030,5.421,0.037
SJI,1016,0.70,219.229,0.400,5.50,0.4209,0.0028,5.459,0.035
SJI,1016,0.80,0.000,0.400,5.50,0.4128,0.0028,5.494,0.036
SJI,1016,0.90,73.527,0.400,5.50,0.4074,0.0028,5.475,0.036
SJI,1016,1.00,483.463,0.400,5.50,0.4018,0.0029,5.508,0.035
SJI,1016,1.10,931.435,0.400,5.50,0.3942,0.0030,5.527,0.036
SJI,1016,1.20,1632.180,0.400,5.50,0.3887,0.0030,5.537,0.038
SJI,1016,1.30,2725.331,0.400,5.50,0.3828,0.0030,5.504,0.039
SJI,1016,1.40,3982.245,0.350,5.50,0.3739,0.0031,5.534,0.038
SJI,1016,1.50,5426.148,0.350,5.50,0.3687,0.0033,5.476,0.040
