name,width_depleted,orientation,critical_depth,width_max,offset,tilt,gain,critical_depth_min,critical_depth_max,width_max_min,width_max_max,width_depleted_preferred
2014b-1,0.75,-1,0.250,9.50,0.050,0.0000,2.044,0.200,0.300,7.50,10.00,0.00
2014b-2,0.75,-1,0.400,4.50,-0.250,0.0150,24.149,0.400,0.400,4.00,5.50,1.00
2014b-3,0.75,1,1.000,4.50,-0.100,0.0000,59.120,0.500,1.000,2.00,5.00,1.50
2014b-4,0.75,1,0.400,5.00,0.000,0.0000,31.107,0.350,0.700,4.00,5.00,0.00
2014b-5,0.75,1,0.200,5.00,0.000,0.0000,24.217,0.200,0.350,4.00,5.50,1.25
2014b-6,0.75,-1,0.400,5.00,0.150,0.0150,18.136,0.250,0.500,4.00,8.00,1.00
2014b-7,0.75,1,0.250,6.00,-0.350,0.0000,42.318,0.250,0.600,3.50,6.50,1.25
2014b-8,0.75,-1,0.450,3.50,-0.150,-0.0150,51.659,0.450,0.450,3.50,4.00,0.75
2014b-9,0.75,-1,0.500,2.50,-0.250,0.0300,29.561,0.400,0.600,2.50,3.00,0.50
2014b-10,0.75,1,1.000,3.50,-0.550,-0.0150,5.842,0.550,1.000,3.00,4.00,2.00
2014b-11,0.75,1,0.450,4.50,0.050,0.0000,12.038,0.400,0.450,4.00,6.00,1.50
2014b-12,0.75,1,0.450,7.50,-0.100,0.0300,17.875,0.400,0.450,7.00,8.50,1.00
2014b-13,0.75,1,0.300,5.50,-0.050,0.0000,17.383,0.250,0.500,4.50,5.50,0.00
2014b-14,0.75,1,0.100,7.00,0.600,0.0000,-0.535,0.000,0.250,0.00,10.00,0.00
2014b-15,0.75,1,0.500,10.00,0.600,0.0300,14.100,0.450,0.550,8.50,10.00,1.75
2014b-16,0.75,-1,0.200,4.00,0.200,0.0300,6.809,0.050,0.650,3.50,10.00,0.75
2014b-17,0.75,1,0.250,6.00,0.100,0.0300,2.154,0.150,0.300,4.00,10.00,0.00
2014b-18,0.75,1,0.300,6.00,-0.050,-0.0150,24.289,0.250,0.350,5.50,7.00,1.25
2014b-19,0.75,1,0.400,5.50,-0.050,0.0300,29.407,0.400,0.400,5.50,6.50,1.00
2014b-20,0.75,1,0.900,3.50,0.000,0.0300,19.694,0.750,1.000,3.00,3.50,2.50
2014b-21,0.75,-1,0.550,0.50,-0.500,0.0300,7.907,0.050,0.700,0.00,9.00,0.00
2014b-22,0.75,1,0.650,6.50,0.200,-0.0300,14.272,0.650,0.800,4.50,6.50,1.75
2014b-23,0.75,-1,0.000,0.00,0.600,0.0300,-1.867,0.000,0.850,0.00,10.00,0.00
2014b-24,0.75,-1,0.400,6.00,0.000,0.0300,34.494,0.400,0.500,5.50,6.50,1.25
2014b-25,0.75,-1,0.250,5.00,0.350,-0.0300,15.002,0.050,0.250,4.50,10.00,0.50
2014b-26,0.75,1,0.800,0.00,-0.600,-0.0300,-2.496,0.800,0.800,0.00,0.50,0.00
2014b-27,0.75,1,0.350,4.50,-0.150,-0.0300,11.870,0.350,0.450,4.50,5.00,0.00
2014b-28,0.75,1,0.250,5.00,-0.600,0.0150,7.294,0.250,0.250,5.00,5.00,0.25
2014b-29,0.75,1,0.700,2.50,0.400,0.0150,7.864,0.200,0.750,2.50,3.50,0.00
2014b-30,0.75,-1,0.250,4.00,-0.150,0.0000,6.877,0.150,0.750,0.00,8.50,0.00
2014b-31,0.75,1,0.250,10.00,-0.050,0.0300,18.271,0.250,0.250,10.00,10.00,0.00
2014b-32,0.75,1,0.100,4.50,-0.050,-0.0300,11.701,0.050,0.900,1.50,10.00,1.00
2014b-33,0.75,1,0.150,3.50,0.300,0.0150,18.155,0.100,0.150,0.00,4.50,0.75
2014b-34,0.75,-1,0.000,0.00,-0.350,0.0300,-7.875,0.000,0.000,0.00,10.00,0.25
2014b-35,0.75,1,0.150,3.50,0.150,-0.0150,0.190,0.150,0.250,1.50,5.00,0.00
2014b-36,0.75,-1,0.450,4.50,0.050,0.0000,26.663,0.400,0.500,4.50,5.50,2.25
2014b-37,0.75,1,0.150,7.00,0.300,0.0000,24.236,0.150,0.250,4.50,9.50,0.50
2014b-38,0.75,1,0.900,2.00,-0.100,-0.0300,10.581,0.550,1.000,2.00,7.00,2.00
2014b-39,0.75,-1,0.450,2.00,0.250,0.0000,15.166,0.350,0.650,2.00,2.00,1.00
2014b-40,0.75,1,0.200,10.00,0.300,-0.0300,7.597,0.200,0.250,6.00,10.00,2.25
2014b-41,0.75,-1,0.500,4.50,0.050,-0.0150,16.962,0.400,0.800,4.00,5.00,0.75
2014b-42,0.75,-1,0.500,5.00,0.200,0.0000,18.025,0.250,0.550,4.50,9.00,0.50
2014b-43,0.75,-1,0.650,3.50,0.350,0.0150,18.584,0.350,0.700,3.50,5.00,0.50
2014b-44,0.75,-1,0.450,8.00,-0.600,0.0150,15.765,0.450,0.700,2.50,8.00,1.00
2014b-45,0.75,1,0.500,4.00,0.050,0.0000,27.590,0.450,0.700,3.50,4.00,1.00
2014b-46,0.75,-1,0.250,2.00,-0.200,0.0000,-4.159,0.200,0.700,1.00,5.50,0.00
2014b-47,0.75,-1,0.450,4.00,-0.050,0.0000,27.013,0.350,0.550,3.50,5.50,2.25
2014b-48,0.75,1,0.900,3.00,0.500,0.0300,15.097,0.900,0.900,3.00,4.00,2.50
2014b-49,0.75,-1,1.000,2.00,-0.100,0.0150,9.866,0.600,1.000,1.50,3.00,2.25
2014b-50,0.75,1,0.350,3.00,0.100,0.0000,27.793,0.350,0.400,3.00,3.00,0.75
2014b-51,0.75,1,0.100,3.00,-0.200,0.0300,12.434,0.050,0.200,0.00,6.00,0.75
2014b-52,0.75,-1,0.350,1.00,0.100,0.0300,10.989,0.250,0.450,1.00,1.50,0.00
2014b-53,0.75,-1,0.850,0.00,-0.500,-0.0300,-5.391,0.150,0.850,0.00,0.50,0.00
2014b-54,0.75,-1,0.400,8.50,-0.200,0.0300,19.082,0.400,0.950,3.00,9.50,2.50
2014b-55,0.75,1,0.300,9.50,-0.100,-0.0300,24.611,0.300,0.500,8.50,9.50,0.25
2014b-56,0.75,1,0.000,0.00,-0.250,-0.0300,4.404,0.000,0.050,0.00,10.00,0.50
2014b-57,0.75,1,0.400,4.50,0.050,0.0150,24.540,0.350,0.400,4.50,5.00,0.75
2014b-58,0.75,1,0.150,7.50,0.300,0.0300,6.002,0.150,0.950,0.00,8.00,0.00
2014b-59,0.75,-1,1.000,2.50,-0.050,0.0150,27.118,0.700,1.000,1.50,2.50,2.25
2014b-60,0.75,1,0.800,2.00,0.000,0.0300,18.801,0.700,0.800,2.00,2.00,0.75
2014b-61,0.75,1,1.000,5.00,0.450,0.0150,15.042,1.000,1.000,5.00,5.00,1.00
2014b-62,0.75,-1,0.500,4.50,0.000,0.0150,66.393,0.350,0.500,4.50,5.00,1.25
2014b-63,0.75,1,0.200,4.00,0.200,0.0300,24.495,0.200,0.200,4.00,4.00,0.50
2014b-64,0.75,1,0.700,5.50,-0.050,0.0000,23.523,0.650,0.700,5.00,6.00,1.00
2014b-65,0.75,-1,0.950,9.50,0.600,-0.0300,18.256,0.950,0.950,9.50,9.50,1.00
2014b-66,0.75,-1,0.600,1.50,0.500,-0.0150,0.629,0.550,1.000,1.00,2.50,0.00
2014b-67,0.75,-1,0.650,9.00,0.400,0.0300,5.896,0.650,0.700,8.00,9.50,0.00
2014b-68,0.75,1,0.500,1.50,0.200,-0.0150,0.923,0.450,0.500,1.50,1.50,0.00
2014b-69,0.75,-1,0.150,3.50,-0.150,0.0150,4.248,0.100,1.000,1.50,10.00,0.50
2014b-70,0.75,1,0.550,2.00,-0.400,0.0300,0.981,0.350,0.650,1.50,2.50,0.25
2014b-71,0.75,-1,0.500,5.00,-0.600,0.0300,14.650,0.500,0.500,5.00,5.00,0.50
2014b-72,0.75,-1,0.550,4.00,0.550,-0.0300,10.425,0.250,0.600,3.50,4.50,1.00
2014b-73,0.75,-1,0.150,10.00,-0.100,0.0300,2.050,0.150,1.000,1.00,10.00,0.50
2014b-74,0.75,-1,0.350,7.50,0.300,0.0300,14.829,0.250,0.350,7.00,9.50,0.25
2014b-75,0.75,-1,0.400,5.00,0.450,0.0300,28.436,0.350,0.450,4.50,5.50,0.00
2014b-76,0.75,1,0.300,5.50,0.250,0.0300,15.065,0.300,0.300,5.00,5.50,1.75
2014b-77,0.75,1,0.300,5.00,-0.400,0.0300,0.078,0.150,0.350,4.00,5.00,0.25
2014b-78,0.75,-1,0.350,4.00,0.050,-0.0150,27.843,0.350,0.450,3.50,5.00,0.75
2014b-79,0.75,1,0.500,5.00,0.600,-0.0300,3.774,0.050,0.900,1.00,5.50,1.75
