dataset,fsn,time,image,saa,tracks
2014b,4608906,2014-03-12T20:03:08.28Z,NUV,0,0
2014b,4608907,2014-03-12T20:03:08.35Z,FUV,0,0
2014b,4608909,2014-03-12T20:03:24.81Z,NUV,0,0
2014b,4608910,2014-03-12T20:03:24.88Z,FUV,0,0
2014b,4608912,2014-03-12T20:03:41.58Z,NUV,0,0
2014b,4608913,2014-03-12T20:03:41.64Z,FUV,0,0
2014b,4608915,2014-03-12T20:03:58.09Z,NUV,0,0
2014b,4608916,2014-03-12T20:03:58.16Z,FUV,0,0
2014b,4608918,2014-03-12T20:04:14.84Z,NUV,0,0
2014b,4608919,2014-03-12T20:04:14.91Z,FUV,0,0
2014b,4608921,2014-03-12T20:04:31.37Z,NUV,0,0
2014b,4608922,2014-03-12T20:04:31.44Z,FUV,0,0
2014b,4608924,2014-03-12T20:04:48.16Z,NUV,0,0
2014b,4608925,2014-03-12T20:04:48.22Z,FUV,0,0
2014b,4608927,2014-03-12T20:05:04.66Z,NUV,0,0
2014b,4608928,2014-03-12T20:05:04.72Z,FUV,0,0
2014b,4608930,2014-03-12T20:05:21.44Z,NUV,0,0
2014b,4608931,2014-03-12T20:05:21.50Z,FUV,0,0
2014b,4608933,2014-03-12T20:05:37.94Z,NUV,0,0
2014b,4608934,2014-03-12T20:05:38.00Z,FUV,0,0
2014b,4608936,2014-03-12T20:05:54.68Z,NUV,0,0
2014b,4608937,2014-03-12T20:05:54.74Z,FUV,0,0
2014b,4608939,2014-03-12T20:06:11.22Z,NUV,0,0
2014b,4608940,2014-03-12T20:06:11.28Z,FUV,0,0
2014b,4608942,2014-03-12T20:06:27.98Z,NUV,0,0
2014b,4608943,2014-03-12T20:06:28.04Z,FUV,0,0
2014b,4608945,2014-03-12T20:06:44.50Z,NUV,0,0
2014b,4608946,2014-03-12T20:06:44.56Z,FUV,0,0
2014b,4608948,2014-03-12T20:07:01.26Z,NUV,0,0
2014b,4608949,2014-03-12T20:07:01.32Z,FUV,0,0
2014b,4608951,2014-03-12T20:07:17.78Z,NUV,0,0
2014b,4608952,2014-03-12T20:07:17.85Z,FUV,0,0
2014b,4608954,2014-03-12T20:07:34.54Z,NUV,0,0
2014b,4608955,2014-03-12T20:07:34.60Z,FUV,0,0
2014b,4608957,2014-03-12T20:07:51.06Z,NUV,0,0
2014b,4608958,2014-03-12T20:07:51.13Z,FUV,0,0
2014b,4608960,2014-03-12T20:08:07.82Z,NUV,0,0
2014b,4608961,2014-03-12T20:08:07.88Z,FUV,0,0
2014b,4608963,2014-03-12T20:08:24.34Z,NUV,0,0
2014b,4608964,2014-03-12T20:08:24.41Z,FUV,0,0
2014b,4608966,2014-03-12T20:08:41.09Z,NUV,0,0
2014b,4608967,2014-03-12T20:08:41.16Z,FUV,0,0
2014b,4608969,2014-03-12T20:08:57.62Z,NUV,0,0
2014b,4608970,2014-03-12T20:08:57.69Z,FUV,0,0
2014b,4608972,2014-03-12T20:09:14.37Z,NUV,0,0
2014b,4608973,2014-03-12T20:09:14.44Z,FUV,0,0
2014b,4608975,2014-03-12T20:09:30.91Z,NUV,0,0
2014b,4608976,2014-03-12T20:09:30.97Z,FUV,0,0
2014b,4608978,2014-03-12T20:09:47.67Z,NUV,0,0
2014b,4608979,2014-03-12T20:09:47.73Z,FUV,0,0
2014b,4608981,2014-03-12T20:10:04.19Z,NUV,0,0
2014b,4608982,2014-03-12T20:10:04.25Z,FUV,0,0
2014b,4608984,2014-03-12T20:10:20.94Z,NUV,0,0
2014b,4608985,2014-03-12T20:10:21.00Z,FUV,0,0
2014b,4608987,2014-03-12T20:10:37.47Z,NUV,0,0
2014b,4608988,2014-03-12T20:10:37.53Z,FUV,0,0
2014b,4608990,2014-03-12T20:10:54.23Z,NUV,0,0
2014b,4608991,2014-03-12T20:10:54.30Z,FUV,0,0
2014b,4608993,2014-03-12T20:11:10.75Z,NUV,0,0
2014b,4608994,2014-03-12T20:11:10.81Z,FUV,0,0
