name,dataset,chip,fsn,length,start,slope,noise,gain,vertical,row,column
2014b-1,2014b,FUV1,4609756,18,0,0.06365208066101599,17.791199684143066,6.0,False,1600,499
2014b-2,2014b,FUV2,4609759,20,18,-0.19116515226462769,17.791199684143066,6.0,True,760,2974
2014b-3,2014b,FUV2,4609765,13,38,-0.23696659759660413,17.791199684143066,6.0,False,3726,891
2014b-4,2014b,FUV2,4609780,13,51,-0.1264581287244788,17.791199684143066,6.0,True,349,3745
2014b-5,2014b,FUV1,4609780,16,64,-0.281198309263574,17.791199684143066,6.0,False,1399,374
2014b-6,2014b,FUV1,4609780,12,80,0.31631989653267484,17.791199684143066,6.0,True,631,1457
2014b-7,2014b,FUV2,4609783,12,92,-0.27367072862772773,17.791199684143066,6.0,False,3654,850
2014b-8,2014b,FUV2,4609786,13,104,-0.1308539560346065,17.791199684143066,6.0,True,581,3650
2014b-9,2014b,FUV1,4609786,14,117,-0.2867690954996019,17.791199684143066,6.0,True,681,1905
2014b-10,2014b,FUV1,4609789,12,131,0.012593444080952048,17.791199684143066,6.0,True,826,1635
2014b-11,2014b,FUV2,4609792,17,143,-0.14891801905257063,17.791199684143066,6.0,True,594,3843
2014b-12,2014b,FUV1,4609792,13,160,-0.09364189027947686,17.791199684143066,6.0,False,261,869
2014b-13,2014b,FUV2,4609795,18,173,-0.22442670541324455,17.791199684143066,6.0,True,763,3617
2014b-14,2014b,FUV2,4609795,12,191,-0.24952350461469508,17.791199684143066,6.0,True,767,3586
2014b-15,2014b,FUV2,4609795,16,203,-0.31687901457898654,17.791199684143066,6.0,True,812,2976
2014b-16,2014b,FUV1,4609798,13,219,0.021419711121240675,17.791199684143066,6.0,True,348,1813
2014b-17,2014b,FUV1,4609798,12,232,-0.07635762541040667,17.791199684143066,6.0,True,808,1758
2014b-18,2014b,FUV2,4609801,12,244,-0.2885707066743493,17.791199684143066,6.0,True,379,3716
2014b-19,2014b,FUV2,4609804,20,256,-0.2113943292162731,17.791199684143066,6.0,True,532,2957
2014b-20,2014b,FUV2,4609804,12,276,-0.0875951002551062,17.791199684143066,6.0,True,551,2932
2014b-21,2014b,FUV2,4609807,13,288,0.25990179501521976,17.791199684143066,6.0,True,564,4059
2014b-22,2014b,FUV1,4609807,15,301,0.19485912412616108,17.791199684143066,6.0,True,568,169
2014b-23,2014b,FUV1,4609807,12,316,0.030596859268033516,17.791199684143066,6.0,True,619,1345
2014b-24,2014b,FUV2,4609807,12,328,-0.3364147675368944,17.791199684143066,6.0,True,677,2938
2014b-25,2014b,FUV1,4609807,15,340,-0.34348515709430294,17.791199684143066,6.0,True,693,1397
2014b-26,2014b,FUV2,4609807,15,355,-0.12501058396365614,17.791199684143066,6.0,True,712,4012
2014b-27,2014b,FUV1,4609807,12,370,-0.34881058413721744,17.791199684143066,6.0,True,722,196
2014b-28,2014b,FUV2,4609810,18,382,-0.24577012297876358,17.791199684143066,6.0,True,354,3185
2014b-29,2014b,FUV2,4609810,12,400,-0.1570268429848115,17.791199684143066,6.0,True,435,2930
2014b-30,2014b,FUV1,4609810,14,412,-0.0977762237764115,17.791199684143066,6.0,True,515,371
2014b-31,2014b,FUV1,4609810,12,426,-0.1379828460634989,17.791199684143066,6.0,True,529,433
2014b-32,2014b,FUV2,4609810,14,438,0.21710688738378037,17.791199684143066,6.0,False,3250,579
2014b-33,2014b,FUV2,4609810,12,452,0.2725097970741768,17.791199684143066,6.0,True,658,3041
2014b-34,2014b,FUV1,4609810,15,464,-0.28225724314217326,17.791199684143066,6.0,True,674,1304
2014b-35,2014b,FUV2,4609810,19,479,-0.1897297990883658,17.791199684143066,6.0,True,744,3150
2014b-36,2014b,FUV1,4609810,18,498,-0.18592690869747805,17.791199684143066,6.0,True,802,1887
2014b-37,2014b,FUV1,4609810,12,516,-0.2884007707147404,17.791199684143066,6.0,False,1778,845
2014b-38,2014b,FUV2,4609810,17,528,-0.283879241410702,17.791199684143066,6.0,True,870,3749
2014b-39,2014b,FUV1,4609810,17,545,-0.24907845218711502,17.791199684143066,6.0,True,887,1716
2014b-40,2014b,FUV1,4609810,18,562,-0.2386247077836931,17.791199684143066,6.0,True,890,144
2014b-41,2014b,FUV2,4609810,14,580,0.13557195119553803,17.791199684143066,6.0,False,3865,900
2014b-42,2014b,FUV2,4609813,15,594,-0.10104956018101806,17.791199684143066,6.0,True,367,3036
